material_name,material_abbreviation,manufacturer,section,property_name,value,unit,english,test_condition,comments,source_text,source_page,chunk_type,source_verified,confirmed_by_gpt,match_layer,doi_url,llm_model,pdf_filename,gt_filename,winning_llm,processing_timestamp,f1_score,precision,recall
plastic,PLAS,,Physical,world production of plastic,360,million tonnes per year,,as of 2018,,"The world production of plastic as of 2018 is about 360 million tonnes per year, of which about 3 % is dumped directly into the ocean, and from the remaining, 79 % is landfilled, 12 % is thermally incinerated and just 9 % is recycled (Ritchie and Roser 2018).",Page 4,text,False,True,exact,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
plastic,PLAS,,Physical,proportion of plastic dumped directly into the ocean,3,%,,,,"The world production of plastic as of 2018 is about 360 million tonnes per year, of which about 3 % is dumped directly into the ocean, and from the remaining, 79 % is landfilled, 12 % is thermally incinerated and just 9 % is recycled (Ritchie and Roser 2018).",Page 4,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
plastic,PLAS,,Physical,proportion of plastic landfilled,79,%,,,,"The world production of plastic as of 2018 is about 360 million tonnes per year, of which about 3 % is dumped directly into the ocean, and from the remaining, 79 % is landfilled, 12 % is thermally incinerated and just 9 % is recycled (Ritchie and Roser 2018).",Page 4,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
plastic,PLAS,,Physical,proportion of plastic thermally incinerated,12,%,,,,"The world production of plastic as of 2018 is about 360 million tonnes per year, of which about 3 % is dumped directly into the ocean, and from the remaining, 79 % is landfilled, 12 % is thermally incinerated and just 9 % is recycled (Ritchie and Roser 2018).",Page 4,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
plastic,PLAS,,Physical,proportion of plastic recycled,9,%,,,,"The world production of plastic as of 2018 is about 360 million tonnes per year, of which about 3 % is dumped directly into the ocean, and from the remaining, 79 % is landfilled, 12 % is thermally incinerated and just 9 % is recycled (Ritchie and Roser 2018).",Page 4,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
plastic,PLAS,,Environmental,emission of greenhouse gases,56 billion,tonnes,,by 2050,which is 13 to 15 % of the entire carbon budget,"It is estimated that increasing the population and quadrupling demand for plastic by 2050 will result in the emission of 56 billion tonnes of greenhouse gases (GHG), which is 13 to 15 % of the entire carbon budget (Lisa et al. 2019).",Page 6,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
plastic,PLAS,,Chemical,World production of plastic,360,million tonnes per year,,as of 2018,,"The world production of plastic as of 2018 is about 360 million tonnes per year, of which about 3 % is dumped directly into the ocean, and from the remaining, 79 % is landfilled, 12 % is thermally incinerated and just 9 % is recycled (Ritchie and Roser 2018).",Page 4,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
plastic,PLAS,,Environmental,percentage of the entire carbon budget,13-15,%,,by 2050,,"It is estimated that increasing the population and quadrupling demand for plastic by 2050 will result in the emission of 56 billion tonnes of greenhouse gases (GHG), which is 13 to 15 % of the entire carbon budget (Lisa et al. 2019).",Page 6,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
plastic,PLAS,,Processing,low-wavelength radiation,300,nm,,,low-wavelength (< 300 nm) radiation should be used to obtain maximum penetration in the plastic structure,length (< 300 nm) radiation should be used to obtain maximum penetration in the plastic structure.,Page 48,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
plastic,PLAS,,Processing,pre-treatment wavelength,300,nm,,,Most of the conducted studies pre-treated plastic samples at a higher wavelength (> 300 nm),"Most of the conducted studies pre-treated plastic samples at a higher wavelength (> 300 nm), and irradiated just one side of the plastic.",Page 48,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
polyethylene terephthalate,POLY,,Physical,proportion in municipal waste stream,11,%,,,,"The most globally generated thermoplastic wastes which also are the main topic of this review are polyethylene terephthalate (PET), high density polyethylene (HDPE), low density polyethylene (LDPE), polypropylene (PP) and polystyrene (PS) with the proportion of about 11, 14, 20, 19 and 6 % in municipal waste stream, respectively (Fig 1) (Shah et al. 2008, Parker 2018, Fotopoulou and Karapanagioti 2019).",Page 4,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
high density polyethylene,HIGH,,Physical,proportion in municipal waste stream,14,%,,,,"The most globally generated thermoplastic wastes which also are the main topic of this review are polyethylene terephthalate (PET), high density polyethylene (HDPE), low density polyethylene (LDPE), polypropylene (PP) and polystyrene (PS) with the proportion of about 11, 14, 20, 19 and 6 % in municipal waste stream, respectively (Fig 1) (Shah et al. 2008, Parker 2018, Fotopoulou and Karapanagioti 2019).",Page 4,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
low density polyethylene,LOW ,,Physical,proportion in municipal waste stream,20,%,,,,"The most globally generated thermoplastic wastes which also are the main topic of this review are polyethylene terephthalate (PET), high density polyethylene (HDPE), low density polyethylene (LDPE), polypropylene (PP) and polystyrene (PS) with the proportion of about 11, 14, 20, 19 and 6 % in municipal waste stream, respectively (Fig 1) (Shah et al. 2008, Parker 2018, Fotopoulou and Karapanagioti 2019).",Page 4,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
polypropylene,POLY,,Physical,proportion in municipal waste stream,19,%,,,proportion in municipal waste stream,"The most globally generated thermoplastic wastes which also are the main topic of this review are polyethylene terephthalate (PET), high density polyethylene (HDPE), low density polyethylene (LDPE), polypropylene (PP) and polystyrene (PS) with the proportion of about 11, 14, 20, 19 and 6 % in municipal waste stream, respectively (Fig 1) (Shah et al. 2008, Parker 2018, Fotopoulou and Karapanagioti 2019).",Page 4,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
polystyrene,POLY,,Physical,proportion in municipal waste stream,6,%,,,,"The most globally generated thermoplastic wastes which also are the main topic of this review are polyethylene terephthalate (PET), high density polyethylene (HDPE), low density polyethylene (LDPE), polypropylene (PP) and polystyrene (PS) with the proportion of about 11, 14, 20, 19 and 6 % in municipal waste stream, respectively (Fig 1) (Shah et al. 2008, Parker 2018, Fotopoulou and Karapanagioti 2019).",Page 4,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
thermoplastic wastes,THER,,Physical,time required for natural degradation,10-1000,years,,,Depending on the type of plastic and the environmental conditions,"Depending on the type of plastic and the environmental conditions, it is estimated that 10-1000 years is required for the natural degradation of thermoplastic wastes.",Page 5,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
disposed plastic,DISP,,Environmental,CO2 emission,253,g CO2 / kg,,open-type landfill,emitted in Northern Europe,Eriksson and Finnveden (2009) reported 253 g CO2 / kg of disposed plastic is emitted in the open-type landfill in Northern Europe.,Page 8,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
non-degradable plastics,NON-,,Environmental,amount of discharge CH4 to the atmosphere,10-4100,mol/g day,,,from both virgin and aged non-degradable plastics,"In a study by Royer et al. (2018) the amount of released CH4 to the atmosphere from both virgin and aged non-degradable plastics were calculated, in which the amount of discharge CH4 to the atmosphere was between 10- 4100 mol/g day.",Page 8,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PE,PE,,Chemical,incubation time,72,days,,anaerobic conditions,degradation rate as weight loss and mechanical properties were not changed,Iwańczuk et al. (2015) showed that the degradation rate as weight loss and mechanical properties of the buried PE in anaerobic conditions were not changed within 72 days of incubation.,Page 8,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PE,PE,,Chemical,PAHs produced from incineration,462.3,mg/kg,,incineration,,Li et al. (2001) showed that from the incineration of PE alone 462.3 mg/kg PAHs is produced which is enough to cause cancer and carcinogenic problems in humans.,Page 11,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PE,PE,,Chemical,Biodegradation,50.5,%,,pre-treated with nitric acid,,"Rajandas et al. (2012) achieved 50.5 and 61% biodegradation after giving the pre-treated PE in nitric acid to Pseudomonas aeruginosa and Microbacterium paraoxydans, respectively.",Page 28,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PE,PE,,Chemical,liquid yield,81,wt %,,pyrolysis at 350 °C,,Ahmed et al. (2014) obtained about 81 wt % liquid from pyrolysis of PE at 350 °C.,Page 11,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PE,PE,,Chemical,liquid oil yield,85,wt %,,pyrolysis at 550 °C,,Marcilla et al. (2009) also achieved about 85 wt % liquid oil from PE pyrolysis at 550°C (Marcilla et al. 2009).,Page 11,text,False,True,exact,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PE,PE,,Physical,Weight loss,17.35,%,,"Biodegradation by Aspergillus niger, 30 days",Reference: (Kathiresan 2003),Aspergillus niger | PE | 30 | 17.35 | (Kathiresan 2003),Page 17,table,False,True,exact,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PE,PE,,Physical,weight loss enhancement,5,%,,applying heat as a way of PE physicochemical alteration,applying heat as a way of PE physicochemical alteration,Velrajan & Andrew (2012) also showed that applying heat as a way of PE physicochemical alteration could enhance the weight loss up to 5 %.,Page 24,text,True,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PE,PE,,Chemical,Biodegradation (mineralisation),29.5,%,,UV pre-treated for 25 days,Esmaeili et al. (2013),"Esmaeili et al. (2013), pre-treated PE plastics under UV light in a laminar hood for 25 days, and observed higher biodegradation (as mineralisation) in the UV pre-treated PE plastic (29.5 %) than un-treated plastic (15.8 %).",Page 28,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PE,PE,,Chemical,Degradation efficiency enhancement,7.18,%,,Chemically pre-treated with nitric acid for 6 days,Chaudhary and Vijayakumar (2020),Chaudhary and Vijayakumar (2020) also reported that the chemically pre-treated PE with nitric acid for 6 days can enhance the degradation efficiency up to 7.18 %.,Page 28,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PE,PE,,Chemical,Degradation time,30,day,,"Bacillus licheniformis and Lysinibacillus sp., Biosurfactant",Mukherjee et al. 2016,Plastic Strain Surface-active agent Degradation Weight loss Reference time (day) (%) PE Bacillus licheniformis and Lysinibacillus sp. Biosurfactant 30 days 2.97 (Mukherjee et al. 2016),Page 33,table,False,True,exact,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PE,PE,,Chemical,Weight loss,2.97,%,,"Bacillus licheniformis and Lysinibacillus sp., Biosurfactant, 30 days",Mukherjee et al. 2016,Plastic Strain Surface-active agent Degradation Weight loss Reference time (day) (%) PE Bacillus licheniformis and Lysinibacillus sp. Biosurfactant 30 days 2.97 (Mukherjee et al. 2016),Page 33,table,False,True,exact,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PE,PE,,Physical,Degradation time,90,day,,Streptomyces sp.,"By-products: 1,4‐epoxynaphthalene‐1(2h) ‐methanol,4,5,7‐tris(1,1‐dimethylethyl) −3, 2‐t‐butyl‐5‐chloromethyl‐3‐methyl‐4‐oxoimidazolidine‐1‐carboxylic, tetrapentacontane, Squalene, diethyl phthalate, benzene, 1,3‐bis(1,1‐dimethylethyl)","Plastic | Strain | Degradation | By-products |  | Reference\nPE | Streptomyces sp. | 90 | 1) 1,4‐epoxynaphthalene‐1(2h) ‐ | 4) Squalene",Page 38,table,False,True,exact,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
plastic waste,PLAS,,Thermal,Incineration temperature,800,°C,,,high temperatures are used to reduce plastic waste,"Incineration is a thermal process in which air and high temperatures (>800°C) are used to reduced more than 90 % of plastic waste (Demirbaş 2000, Al-Salem et al. 2009).",Page 9,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
plastic waste,PLAS,,Physical,reduced plastic waste,90,%,,Incineration at high temperatures (>800°C),,"Incineration is a thermal process in which air and high temperatures (>800°C) are used to reduced more than 90 % of plastic waste (Demirbaş 2000, Al-Salem et al. 2009).",Page 9,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
plastic waste,PLAS,,Environmental,greenhouse gasses produced from the processes,3.8,%,,,"methane, ethylene, and carbon dioxide","The production and treatment of plastic waste contribute to global warming because 3.8 % of the gasses produced from the processes are greenhouse gasses (methane, ethylene, and carbon dioxide) (Royer et al. 2018, Zheng and Suh 2019).",Page 6,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
plastic waste,PLAS,,Thermal,energy generation ratio compared to other municipal solid waste,3,times,,effective and complete incineration,,"Morris et al., (1996) reported that effective and complete incineration of plastic waste can generate almost three times the energy compared to combustion of other municipal solid waste.",Page 9,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
plastic waste,PLAS,,Chemical,Pressure,15 to 100,bar,,subcritical,,"The process occurs in presence of water which plays a key role in breaking down complex compounds at subcritical (pressure: 15 to 100 bar, temperature: 150 to 250 °C) or supercritical (pressure > 221 bar, temperature > 374 °C) conditions (Brunner 2009, Toor 2011, Baroutian et al. 2013, Hii et al. 2014, Baroutian et al. 2016).",Page 13,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
